ProductOrPart,ID,Name,Price,Stock,Min,Max,MachineID,CompanyName,AssociatedParts
Part,1,CPU,300.0,230,20,400,,Samsung,
Part,2,RAM,150.0,320,20,400,,SK Hynix,
Part,3,Hard Drive,150.0,165,0,200,,Sabrent,
Part,4,Screen,200.0,206,20,600,,Generic,
Part,5,Keyboard,50.0,76,0,200,1006,,
Part,6,Touchpad,25.0,97,0,200,1002,,
Part,7,Battery,50.0,15,20,300,1003,,
Part,8,Flash Storage,200.0,84,20,400,1002,,
Part,9,Camera,50.0,45,20,400,1005,,
Part,10,Charger,20.0,260,20,600,,Samsung,
Part,11,Earphones,30.0,240,20,600,,Sennheiser,
Part,12,Mouse,35.4,15,0,25,,Alienware,
Product,1,Laptop,1399.95,54,0,200,,,1.2.3.4.5.6.7
Product,2,Smartphone,979.95,1245,20,1500,,,1.2.4.7.8.9.10.11
